,Probe_ID,statistic,pvalue,adj_p_value
84,1570482_at,-0.261078336,7.97E-01,1.00E+00
1434,241925_x_at,-0.266704079,7.92E-01,1.00E+00
784,218963_s_at,-0.273894046,7.88E-01,1.00E+00
18,1553970_s_at,-0.297333606,7.71E-01,1.00E+00
41,1555765_a_at,-0.301897934,7.66E-01,1.00E+00
1194,230003_at,-0.304818538,7.64E-01,1.00E+00
1093,227984_at,-0.311278357,7.60E-01,1.00E+00
126,202888_s_at,-0.312054298,7.57E-01,1.00E+00
296,205328_at,-0.313827072,7.58E-01,1.00E+00
16,1553808_a_at,-0.323995739,7.52E-01,1.00E+00
754,216829_at,-0.325044118,7.50E-01,1.00E+00
550,210145_at,-0.326484009,7.48E-01,1.00E+00
836,220065_at,-0.331749757,7.44E-01,1.00E+00
528,209869_at,-0.341336454,7.36E-01,1.00E+00
1461,243278_at,-0.36345934,7.21E-01,1.00E+00
571,210643_at,-0.379835576,7.07E-01,1.00E+00
434,206785_s_at,-0.386348695,7.06E-01,1.00E+00
803,219614_s_at,-0.388014981,7.03E-01,1.00E+00
1157,229288_at,-0.389883868,7.00E-01,1.00E+00
1223,230831_at,-0.397183438,6.95E-01,1.00E+00
103,201909_at,-0.413127996,6.84E-01,1.00E+00
55,1557236_at,-0.417254581,6.84E-01,1.00E+00
68,1559827_at,-0.420332274,6.80E-01,1.00E+00
1279,232752_at,-0.423727154,6.78E-01,1.00E+00
1123,228562_at,-0.424584808,6.74E-01,1.00E+00
279,205184_at,-0.437508397,6.68E-01,1.00E+00
272,205110_s_at,-0.463242101,6.49E-01,1.00E+00
353,205844_at,-0.464657574,6.50E-01,1.00E+00
1369,237625_s_at,-0.497450608,6.26E-01,1.00E+00
409,206354_at,-0.497683023,6.26E-01,1.00E+00
1108,228293_at,-0.519867227,6.09E-01,1.00E+00
809,219764_at,-0.525279203,6.03E-01,1.00E+00
1268,232541_at,-0.533772941,6.01E-01,1.00E+00
48,1556006_s_at,-0.535657749,6.00E-01,1.00E+00
646,213472_at,-0.547304966,5.92E-01,1.00E+00
753,216733_s_at,-0.551255599,5.88E-01,1.00E+00
157,203819_s_at,-0.554879499,5.88E-01,1.00E+00
712,214973_x_at,-0.556543021,5.84E-01,1.00E+00
696,214476_at,-0.571659825,5.78E-01,1.00E+00
295,205319_at,-0.58448232,5.73E-01,1.00E+00
759,217179_x_at,-0.58629572,5.65E-01,1.00E+00
1417,241036_at,-0.589181127,5.64E-01,1.00E+00
352,205828_at,-0.601089822,5.55E-01,1.00E+00
933,223748_at,-0.607918338,5.55E-01,1.00E+00
662,213831_at,-0.61201724,5.51E-01,1.00E+00
1366,237216_at,-0.62079295,5.43E-01,1.00E+00
1457,242967_at,-0.623640744,5.45E-01,1.00E+00
146,203548_s_at,-0.636677848,5.30E-01,1.00E+00
394,206204_at,-0.637587472,5.33E-01,1.00E+00
732,215483_at,-0.648288819,5.26E-01,1.00E+00
708,214868_at,-0.65138524,5.26E-01,1.00E+00
553,210163_at,-0.656859834,5.22E-01,1.00E+00
511,209612_s_at,-0.672464676,5.15E-01,1.00E+00
7,1552767_a_at,-0.702377258,4.91E-01,1.00E+00
429,206700_s_at,-0.711703748,4.86E-01,1.00E+00
1472,244482_at,-0.711943903,4.89E-01,1.00E+00
841,220133_at,-0.722655324,4.82E-01,1.00E+00
1331,235798_at,-0.731777315,4.72E-01,1.00E+00
597,211645_x_at,-0.737288554,4.71E-01,1.00E+00
74,1565358_at,-0.74163777,4.70E-01,1.00E+00
158,203820_s_at,-0.741746392,4.71E-01,1.00E+00
1413,240502_at,-0.744756294,4.67E-01,1.00E+00
67,1559826_a_at,-0.749334465,4.66E-01,1.00E+00
1393,238900_at,-0.759040298,4.64E-01,1.00E+00
437,206857_s_at,-0.762899364,4.54E-01,1.00E+00
324,205549_at,-0.78897694,4.47E-01,1.00E+00
592,211538_s_at,-0.805165691,4.28E-01,1.00E+00
449,207057_at,-0.814228341,4.24E-01,1.00E+00
192,204273_at,-0.818905128,4.25E-01,1.00E+00
1196,230127_at,-0.819436066,4.26E-01,1.00E+00
1192,229975_at,-0.829679165,4.17E-01,1.00E+00
938,223883_s_at,-0.834990592,4.19E-01,1.00E+00
1195,230030_at,-0.842292935,4.09E-01,1.00E+00
312,205488_at,-0.843014914,4.13E-01,1.00E+00
1474,244631_at,-0.847007796,4.11E-01,1.00E+00
1125,228592_at,-0.864777944,4.02E-01,1.00E+00
331,205626_s_at,-0.87202035,4.03E-01,1.00E+00
936,223779_at,-0.885597395,3.94E-01,1.00E+00
749,216541_x_at,-0.886887778,3.92E-01,1.00E+00
512,209613_s_at,-0.899849516,3.86E-01,1.00E+00
963,225207_at,-0.919208876,3.70E-01,1.00E+00
699,214657_s_at,-0.941164512,3.64E-01,1.00E+00
810,219772_s_at,-0.946200162,3.62E-01,1.00E+00
417,206515_at,-0.956085004,3.54E-01,1.00E+00
1236,231341_at,-0.971727612,3.46E-01,1.00E+00
1150,229152_at,-0.979915086,3.46E-01,1.00E+00
1183,229779_at,-0.990918508,3.37E-01,1.00E+00
585,211122_s_at,-0.998314759,3.33E-01,1.00E+00
446,207016_s_at,-1.006355649,3.32E-01,1.00E+00
785,218990_s_at,-1.019344137,3.32E-01,1.00E+00
1340,236121_at,-1.042309092,3.15E-01,1.00E+00
1124,228582_x_at,-1.047632569,3.12E-01,1.00E+00
263,205000_at,-1.056955381,3.08E-01,1.00E+00
744,216248_s_at,-1.063635984,3.09E-01,1.00E+00
58,1558048_x_at,-1.068531677,3.06E-01,1.00E+00
1441,242271_at,-1.078419575,3.07E-01,1.00E+00
330,205625_s_at,-1.093817733,3.00E-01,1.00E+00
688,214240_at,-1.095133785,2.90E-01,1.00E+00
225,204621_s_at,-1.099368285,2.92E-01,1.00E+00
549,210143_at,-1.103043862,2.95E-01,1.00E+00
1348,236341_at,-1.112228418,2.82E-01,1.00E+00
138,203184_at,-1.117316923,2.75E-01,1.00E+00
739,215806_x_at,-1.120320009,2.79E-01,1.00E+00
1302,235075_at,-1.137824185,2.74E-01,1.00E+00
748,216510_x_at,-1.138251028,2.68E-01,1.00E+00
668,213906_at,-1.142606609,2.72E-01,1.00E+00
644,213438_at,-1.144498877,2.77E-01,1.00E+00
191,204268_at,-1.149129883,2.65E-01,1.00E+00
1397,239131_at,-1.152417515,2.62E-01,1.00E+00
526,209829_at,-1.156622592,2.60E-01,1.00E+00
800,219529_at,-1.157046195,2.64E-01,1.00E+00
750,216576_x_at,-1.169582134,2.57E-01,1.00E+00
424,206624_at,-1.17686737,2.55E-01,1.00E+00
1358,236778_at,-1.188287461,2.56E-01,1.00E+00
943,223987_at,-1.197405243,2.60E-01,1.00E+00
1339,236045_x_at,-1.207767217,2.49E-01,1.00E+00
264,205001_s_at,-1.226511644,2.40E-01,1.00E+00
602,212094_at,-1.233989392,2.42E-01,1.00E+00
1131,228737_at,-1.238924273,2.34E-01,1.00E+00
724,215175_at,-1.23915976,2.39E-01,1.00E+00
547,210133_at,-1.251003575,2.32E-01,1.00E+00
625,212999_x_at,-1.253962087,2.32E-01,1.00E+00
705,214777_at,-1.257663705,2.24E-01,1.00E+00
439,206859_s_at,-1.258791311,2.39E-01,1.00E+00
438,206858_s_at,-1.259871051,2.24E-01,1.00E+00
649,213537_at,-1.26173889,2.32E-01,1.00E+00
554,210164_at,-1.274208233,2.23E-01,1.00E+00
1120,228492_at,-1.281563045,2.18E-01,1.00E+00
747,216491_x_at,-1.29091991,2.13E-01,1.00E+00
56,1557257_at,-1.293176543,2.25E-01,1.00E+00
418,206552_s_at,-1.295433625,2.21E-01,1.00E+00
6,1552735_at,-1.301719046,2.14E-01,1.00E+00
