"","Gene","statistic","pvalue","adj_p_value"
"250","1552680_a_at"," 1.918655e+00","7.632093e-02","1.000000e+00"
"251","1552685_a_at"," 6.117069e-01","5.481555e-01","1.000000e+00"
"252","1552686_at"," 1.500532e-01","8.831465e-01","1.000000e+00"
"253","1552687_a_at"," 1.547472e+00","1.397507e-01","1.000000e+00"
"254","1552689_at"," 1.975450e+00","7.238152e-02","1.000000e+00"
"255","1552690_a_at","-1.091305e+00","2.873179e-01","1.000000e+00"
"256","1552691_at","-1.875098e+00","8.165824e-02","1.000000e+00"
"257","1552693_at"," 7.002688e-01","4.916145e-01","1.000000e+00"
"258","1552694_at"," 1.468689e+00","1.593162e-01","1.000000e+00"
"259","1552695_a_at"," 8.728544e-01","3.979766e-01","1.000000e+00"
"260","1552698_at"," 6.829297e-01","5.088205e-01","1.000000e+00"
"261","1552701_a_at"," 1.223454e+00","2.358096e-01","1.000000e+00"
"262","1552703_s_at"," 1.524308e+00","1.460534e-01","1.000000e+00"
"263","1552708_a_at"," 3.214279e-01","7.514635e-01","1.000000e+00"
"264","1552712_a_at"," 6.935232e-01","4.947546e-01","1.000000e+00"
"265","1552713_a_at"," 1.883283e+00","8.261619e-02","1.000000e+00"
"266","1552714_at"," 8.378547e-01","4.150490e-01","1.000000e+00"
"267","1552715_a_at","-3.936447e-01","6.973934e-01","1.000000e+00"
"268","1552716_at"," 4.655881e-01","6.474650e-01","1.000000e+00"
"269","1552717_s_at","-3.039184e+00","1.065997e-02","1.000000e+00"
"270","1552718_at"," 6.399659e-01","5.311179e-01","1.000000e+00"
"271","1552721_a_at","-4.018859e+00","2.872942e-03","1.000000e+00"
"272","1552722_at","-1.663304e+00","1.228681e-01","1.000000e+00"
"273","1552724_at"," 1.524643e+00","1.484805e-01","1.000000e+00"
"274","1552725_s_at"," 1.277708e+00","2.229579e-01","1.000000e+00"
"275","1552727_s_at"," 5.631878e-01","5.785811e-01","1.000000e+00"
"276","1552730_at","-4.606031e-01","6.496507e-01","1.000000e+00"
"277","1552731_at"," 8.397419e-02","9.342287e-01","1.000000e+00"
"278","1552732_at","-9.997604e-01","3.384148e-01","1.000000e+00"
"279","1552733_at","-3.768429e+00","1.105960e-03","1.000000e+00"
"280","1552734_at","-1.833094e+00","8.416964e-02","1.000000e+00"
"281","1552735_at","-1.301719e+00","2.139291e-01","1.000000e+00"
"282","1552736_a_at","-2.044885e+00","5.792449e-02","1.000000e+00"
"283","1552737_s_at"," 1.832928e+00","7.836995e-02","1.000000e+00"
"284","1552738_a_at","-5.771391e-01","5.715732e-01","1.000000e+00"
"285","1552742_at"," 1.063131e+00","3.028405e-01","1.000000e+00"
"286","1552743_at"," 5.590939e-01","5.836364e-01","1.000000e+00"
"287","1552745_at","-1.296496e-01","8.984766e-01","1.000000e+00"
"288","1552747_a_at"," 7.532692e-01","4.612649e-01","1.000000e+00"
"289","1552750_at"," 2.194806e+00","4.077545e-02","1.000000e+00"
"290","1552751_a_at"," 8.169520e-01","4.294781e-01","1.000000e+00"
"291","1552752_a_at"," 1.274708e-01","8.999437e-01","1.000000e+00"
"292","1552754_a_at","-8.740731e-01","4.003932e-01","1.000000e+00"
"293","1552757_s_at"," 1.023445e+00","3.223479e-01","1.000000e+00"
"294","1552758_at"," 3.799384e-02","9.703247e-01","1.000000e+00"
"295","1552760_at","-9.113768e-01","3.807125e-01","1.000000e+00"
"296","1552763_at"," 7.829427e-02","9.383255e-01","1.000000e+00"
"297","1552765_x_at"," 4.846367e-01","6.336721e-01","1.000000e+00"
"298","1552766_at"," 5.418725e-01","5.921954e-01","1.000000e+00"
"299","1552767_a_at","-7.023773e-01","4.909118e-01","1.000000e+00"
"300","1552768_at"," 1.471204e+00","1.669108e-01","1.000000e+00"
"301","1552769_at"," 1.049177e+00","3.087910e-01","1.000000e+00"
"302","1552771_a_at"," 1.504593e+00","1.524302e-01","1.000000e+00"
"303","1552775_at"," 2.566470e+00","1.964259e-02","1.000000e+00"
"304","1552777_a_at"," 9.508567e-01","3.550619e-01","1.000000e+00"
"305","1552779_a_at"," 2.442606e+00","2.353174e-02","1.000000e+00"
"306","1552783_at"," 1.308462e+00","2.132216e-01","1.000000e+00"
"307","1552785_at","-3.524827e-01","7.285969e-01","1.000000e+00"
"308","1552789_at"," 2.951181e-01","7.707100e-01","1.000000e+00"
"309","1552790_a_at","-3.468388e-02","9.726664e-01","1.000000e+00"
"310","1552791_a_at"," 1.901021e+00","6.933716e-02","1.000000e+00"
"311","1552792_at"," 5.778919e-01","5.674768e-01","1.000000e+00"
"312","1552793_at","-1.327559e+00","2.064227e-01","1.000000e+00"
"313","1552794_a_at","-4.403124e-01","6.642176e-01","1.000000e+00"
"314","1552796_a_at"," 8.376345e-01","4.205353e-01","1.000000e+00"
"315","1552797_s_at"," 1.425813e+00","1.762254e-01","1.000000e+00"
"316","1552798_a_at","-1.117702e+00","2.804444e-01","1.000000e+00"
"317","1552800_at","-2.610572e-01","7.984767e-01","1.000000e+00"
"318","1552801_at"," 1.202240e+00","2.500217e-01","1.000000e+00"
"319","1552803_a_at"," 2.431811e-01","8.113501e-01","1.000000e+00"
"320","1552806_a_at","-2.355233e-01","8.177610e-01","1.000000e+00"
"321","1552807_a_at","-4.039678e+00","1.024326e-03","1.000000e+00"
"322","1552808_at","-3.790071e-01","7.098705e-01","1.000000e+00"
"323","1552809_at"," 2.002211e+00","6.304008e-02","1.000000e+00"
"324","1552811_at"," 9.685191e-01","3.470262e-01","1.000000e+00"
"325","1552812_a_at","-6.173815e-02","9.514346e-01","1.000000e+00"
"326","1552813_at"," 1.510830e-01","8.820301e-01","1.000000e+00"
"327","1552814_a_at"," 1.910705e+00","7.268679e-02","1.000000e+00"
"328","1552816_at"," 3.102365e-01","7.612888e-01","1.000000e+00"
"329","1552818_a_at"," 1.988436e+00","6.493752e-02","1.000000e+00"
"330","1552819_at"," 1.743874e+00","9.432762e-02","1.000000e+00"
"331","1552822_at","-7.084883e-01","4.939094e-01","1.000000e+00"
"332","1552825_at"," 8.469811e-01","4.104598e-01","1.000000e+00"
"333","1552826_at","-2.792645e-01","7.848686e-01","1.000000e+00"
"334","1552827_s_at"," 9.902841e-01","3.373618e-01","1.000000e+00"
"335","1552828_at","-8.061016e-01","4.317005e-01","1.000000e+00"
"336","1552830_at","-6.670582e-01","5.135569e-01","1.000000e+00"
"337","1552833_at"," 2.875538e+00","1.039772e-02","1.000000e+00"
"338","1552834_at"," 3.397953e+00","3.261964e-03","1.000000e+00"
"339","1552835_at","-2.120700e+00","4.535316e-02","1.000000e+00"
"340","1552836_at","-3.901802e-01","7.023383e-01","1.000000e+00"
"341","1552837_at"," 5.265119e-01","6.068214e-01","1.000000e+00"
"342","1552839_at"," 1.664026e+00","1.149255e-01","1.000000e+00"
"343","1552841_s_at"," 2.303482e+00","3.193136e-02","1.000000e+00"
"344","1552842_at"," 3.990554e+00","1.077065e-03","1.000000e+00"
"345","1552843_at"," 3.009899e+00","6.280446e-03","1.000000e+00"
"346","1552845_at","-5.805268e-01","5.705342e-01","1.000000e+00"
"347","1552848_a_at","-1.577123e+00","1.396664e-01","1.000000e+00"
"348","1552849_at","-2.298592e+00","4.073919e-02","1.000000e+00"
"349","1552851_at","-1.217731e+00","2.486615e-01","1.000000e+00"
"350","1552852_a_at","-5.232814e-01","6.079198e-01","1.000000e+00"
